,ACTIVITY,TS,CUSTOMER,ACTIVITY_REPEATED_AT,COUNT_IN_BETWEEN_GS_DEPLOYMENT_ACTIVITY,DEPS
215,TextComment_CC,2022-06-21,6715,2022-08-22,1,2742
216,TextComment_CC,2022-06-22,8948,2022-06-27,1,7996
217,TextComment_CC,2022-06-22,4681,2022-10-07,2,2545
218,TextComment_CC,2022-06-23,8597,2022-06-30,1,9129
219,TextComment_CC,2022-06-23,1305,2022-07-19,1,1865
220,TextComment_CC,2022-06-27,535297,2023-02-28,1,30
221,TextComment_CC,2022-06-29,8948,2022-07-05,1,8152
222,TextComment_CC,2022-06-30,1025,2022-07-01,1,2634
223,TextComment_CC,2022-06-30,6942,2022-07-12,1,2802
224,TextComment_CC,2022-06-30,3479,2022-07-12,1,11711
225,TextComment_CC,2022-06-30,6633,2022-07-13,1,287
226,TextComment_CC,2022-06-30,8597,2022-07-29,3,9319
227,TextComment_CC,2022-06-30,6461,2022-08-09,3,3866
228,TextComment_CC,2022-07-01,7252,2022-07-06,1,1177
229,TextComment_CC,2022-07-01,6049,2022-07-21,3,37632
230,TextComment_CC,2022-07-01,6953,2022-07-28,1,11330
231,TextComment_CC,2022-07-05,123063,2022-07-11,1,1946
232,TextComment_CC,2022-07-05,8758,2022-07-14,1,1396
233,TextComment_CC,2022-07-05,2500,2022-09-15,6,14821
234,TextComment_CC,2022-07-05,3803,2022-09-30,6,5587
235,TextComment_CC,2022-07-05,3339,2023-03-17,28,5974
236,TextComment_CC,2022-07-06,8948,2022-07-14,1,8274
237,TextComment_CC,2022-07-08,123010,2022-07-18,1,2119
238,TextComment_CC,2022-07-08,3453,2022-07-21,1,4037
239,TextComment_CC,2022-07-11,123063,2022-10-07,2,2282
240,TextComment_CC,2022-07-12,1729,2022-07-19,1,3572
241,TextComment_CC,2022-07-12,3479,2022-08-12,5,12305
242,TextComment_CC,2022-07-13,6315,2022-10-10,7,6024
243,TextComment_CC,2022-07-14,4273,2022-10-31,4,3871
244,TextComment_CC,2022-07-14,3510,2023-02-16,4,1792
245,TextComment_CC,2022-07-15,2927,2022-12-05,4,3198
246,TextComment_CC,2022-07-15,5820,2023-05-10,1,42
247,TextComment_CC,2022-07-18,6942,2022-09-12,2,3035
248,TextComment_CC,2022-07-19,8948,2022-07-20,1,8570
249,TextComment_CC,2022-07-19,1305,2022-08-26,1,1928
250,TextComment_CC,2022-07-19,6746,2022-11-22,2,561
251,TextComment_CC,2022-07-20,1729,2022-07-25,1,3620
252,TextComment_CC,2022-07-20,8948,2022-08-01,1,8667
253,TextComment_CC,2022-07-20,3535,2022-09-30,1,1277
254,TextComment_CC,2022-07-21,6049,2022-08-12,3,39767
255,TextComment_CC,2022-07-21,6079,2022-08-22,3,5352
256,TextComment_CC,2022-07-21,3453,2022-10-27,2,4539
257,TextComment_CC,2022-07-22,6951,2022-07-25,1,15838
258,TextComment_CC,2022-07-22,1025,2022-07-25,1,2686
259,TextComment_CC,2022-07-22,6572,2022-08-12,2,2744
260,TextComment_CC,2022-07-25,3438,2022-08-29,1,517
261,TextComment_CC,2022-07-25,7799,2022-08-31,4,4933
262,TextComment_CC,2022-07-25,3884,2022-09-13,2,2116
263,TextComment_CC,2022-07-25,6951,2023-02-07,38,20766
264,TextComment_CC,2022-07-25,2459,2023-05-24,5,1306
265,TextComment_CC,2022-07-26,1025,2022-07-27,1,2726
266,TextComment_CC,2022-07-26,6937,2022-09-29,1,770
267,TextComment_CC,2022-07-27,6737,2022-08-08,2,10793
268,TextComment_CC,2022-07-28,1866,2022-07-29,1,5672
269,TextComment_CC,2022-07-28,1025,2022-08-03,1,2756
270,TextComment_CC,2022-07-28,6953,2022-08-16,3,11717
271,TextComment_CC,2022-07-28,6193,2023-01-11,11,5206
272,TextComment_CC,2022-07-29,7252,2022-08-03,1,1209
273,TextComment_CC,2022-07-29,8597,2022-08-22,2,9698
274,TextComment_CC,2022-07-29,522544,2023-06-28,48,7761
275,TextComment_CC,2022-08-01,1085,2022-08-30,1,1368
276,TextComment_CC,2022-08-02,5635,2022-09-20,1,1791
277,TextComment_CC,2022-08-02,3546,2022-10-13,2,2165
278,TextComment_CC,2022-08-02,6234,2022-11-08,9,9564
279,TextComment_CC,2022-08-03,8758,2022-08-09,1,1440
280,TextComment_CC,2022-08-03,1505,2023-01-10,22,35784
281,TextComment_CC,2022-08-05,1866,2022-08-09,1,5742
282,TextComment_CC,2022-08-08,8948,2022-08-12,1,8934
283,TextComment_CC,2022-08-08,6737,2022-08-25,1,10866
284,TextComment_CC,2022-08-08,3442,2022-10-26,3,1380
285,TextComment_CC,2022-08-08,3493,2023-01-10,2,1114
286,TextComment_CC,2022-08-09,6461,2022-10-31,2,3988
287,TextComment_CC,2022-08-09,6742,2022-11-10,1,1724
288,TextComment_CC,2022-08-09,6465,2022-11-28,3,1966
289,TextComment_CC,2022-08-10,342010,2022-11-10,5,4141
290,TextComment_CC,2022-08-11,7252,2022-08-16,1,1230
291,TextComment_CC,2022-08-12,1866,2022-08-16,1,5767
292,TextComment_CC,2022-08-12,8948,2022-08-17,1,9060
293,TextComment_CC,2022-08-12,6049,2022-09-06,4,42634
294,TextComment_CC,2022-08-12,1645,2022-10-07,3,2438
295,TextComment_CC,2022-08-15,3479,2022-08-26,2,12503
296,TextComment_CC,2022-08-15,3739,2023-03-29,11,3167
297,TextComment_CC,2022-08-16,7252,2022-08-25,1,1252
298,TextComment_CC,2022-08-17,14001,2022-11-22,8,9243
299,TextComment_CC,2022-08-18,6953,2022-09-02,2,11931
300,TextComment_CC,2022-08-18,8948,2022-09-06,2,9298
301,TextComment_CC,2022-08-22,6715,2022-09-28,2,2955
302,TextComment_CC,2022-08-22,8597,2022-10-15,7,10285
303,TextComment_CC,2022-08-22,6079,2022-10-26,5,5962
304,TextComment_CC,2022-08-23,8421,2022-10-07,2,4195
305,TextComment_CC,2022-08-24,1866,2022-08-29,2,5806
306,TextComment_CC,2022-08-25,6737,2022-09-12,3,11150
307,TextComment_CC,2022-08-26,3479,2022-09-28,4,12847
308,TextComment_CC,2022-08-29,3735,2022-09-28,4,7461
