,ACTIVITY,ACTIVITY_ID,TS,CUSTOMER,FEATURE_JSON,ACTIVITY_OCCURRENCE,ACTIVITY_REPEATED_AT
3558,FeedView_CC,CC_405342,2022-02-17,1729,"{
  ""subject"": ""Premises Products""
}",6416,2022-02-17
3559,FeedView_CC,CC_405334,2022-02-17,1729,"{
  ""subject"": ""Calix""
}",6424,2022-02-17
3560,FeedView_CC,CC_405280,2022-02-17,1729,"{
  ""subject"": ""Calix Cloud""
}",6377,2022-02-17
3561,FeedView_CC,CC_405289,2022-02-17,1729,"{
  ""subject"": ""Mesh Unit""
}",6413,2022-02-17
3562,FeedView_CC,CC_405333,2022-02-17,1729,"{
  ""subject"": ""Support Cloud""
}",6412,2022-02-17
3563,FeedView_CC,CC_405331,2022-02-17,1729,"{
  ""subject"": ""Calix Cloud""
}",6411,2022-02-17
3564,FeedView_CC,CC_405330,2022-02-17,1729,"{
  ""subject"": ""Mesh Unit""
}",6410,2022-02-17
3565,FeedView_CC,CC_405329,2022-02-17,1729,"{
  ""subject"": ""Meraki""
}",6409,2022-02-17
3566,FeedView_CC,CC_405328,2022-02-17,1729,"{
  ""subject"": ""Cisco""
}",6408,2022-02-17
3567,FeedView_CC,CC_405346,2022-02-17,1729,"{
  ""subject"": ""Premises Products""
}",6391,2022-02-17
3568,FeedView_CC,CC_405345,2022-02-17,1729,"{
  ""subject"": ""Support Cloud""
}",6390,2022-02-17
3569,FeedView_CC,CC_405295,2022-02-17,1729,"{
  ""subject"": ""Number""
}",6388,2022-02-17
3570,FeedView_CC,CC_405296,2022-02-17,1729,"{
  ""subject"": ""Free Flash Space""
}",6387,2022-02-17
3571,FeedView_CC,CC_405271,2022-02-17,1729,"{
  ""subject"": ""Support Cloud""
}",6386,2022-02-17
3572,FeedView_CC,CC_405272,2022-02-17,1729,"{
  ""subject"": ""Calix""
}",6385,2022-02-17
3573,FeedView_CC,CC_405273,2022-02-17,1729,"{
  ""subject"": ""Mesh Unit""
}",6384,2022-02-17
